7252-79,Ravi ,Shastri,mcb,"11,12",English,1984-02-09,Kanishlka,Male,B+,9876560923,D-207,Kalpatru Heights,Hiranandani,Panvel,410106,A
2645-76,Priya ,Rai,mitosis,"11,12",Biology,1984-02-10,Shivaji,Female,O-,9302456109,A-112,Lotus Hills,Khanda Colony,Panvel,410206,A
2744-31,Lisa ,Anand,costansec,"11,12",Mathematics,1984-02-11,Pratap,Female,AB,9302789110,F-312,Patel Heritage,Belapur,Navi Mumbai,400001,A
5212-84,Yash ,Raj,renoultnum,"11,12",Physics,1984-02-12,Ashoka,Male,A+,9102456111,D-101,NG Suncity,Nerul,Navi Mumdai,400702,A
5458-79,Harish ,B,dimethyl,"11,12",Chemistry,1984-02-13,Ashoka,Male,A+,9540456112,C-244,Radha Residency,Lonavala,Panvel,410221,A
8180-16,Avneesh ,Pandey,cyberhack,"11,12",Computer Science,1984-02-14,Pratap,Male,B-,9943256113,A-109,Sai World,Lonavala,Panvel,410209,A
3486-40,Surbhi ,Raman,timesmag,"11,12",Mass Media,1984-02-15,Ashoka,Female,O+,9883456114,B-166,Vikrama Vihar,Kharghar,Navi Mumbai,400605,A
1574-62,Uma,Radhakrishnan,panipat1857,"11,12",History,1983-02-16,Shivaji,Female,AB,9230056115,E-206,Bodhha Heights,Kharghar,Navi Mumbai,400614,A
9250-39,Raghav,Kalpani,cynic,"11,12",Psychology,1984-02-17,Kanishka,Male,AB,9118756116,D-241,Lodha Residency,Nerul,Navi Mumbai,400001,A
9459-55,Prithviraj ,Bande,dwarka0guj,"11,12",Geography,1984-02-18,Kanishka,Male,B+,9560056117,A-178,Madhav Park,Palm Beach,Navi Mumbai,400701,A
3535-76,Manveer ,Tiwari,balance,"11,12",Accounts,1984-02-19,Ashoka,Male,A+,9932256118,B-213,Rose Garden,Kalamboli,Panvel,410218,A
3057-30,Aaryra ,Shankar,toffee,"11,12",Economics,1984-02-20,Kanishlka,Female,B-,9230056115,C-278,Lotus Hills,Khanda Colony,Panvel,410206,A
9940-59,Neeraj ,Shah,t20fail,"11,12",Physical Education,1984-02-21,Shivaji,Male,O+,9237856116,A-110,Patel Heritage,Belapur,Navi Mumbai,400001,A
2050-88,Gauri ,Sahoo,basic123,"11,12",Applied Mathematics,1984-02-22,Pratap,Female,AB,9450056117,B-100,NG Suncity,Nerul,Navi Mumdai,400702,A
7714-11,Moumita ,Choudhary,moneeeeey,"11,12",Buisness Studies,1984-02-23,Ashoka,Female,A+,9842256118,E-219,Radha Residency,Lonavala,Panvel,410221,A
